bond_code,bond_name,putback_start,putback_end,convert_start,convert_end,value_date,expire_date,bond_period,hist_adj_count
111012,福新转债,2027-01-04,2029-01-03,2023-07-10,2029-01-03,2023-01-04,2029-01-04,6,0
111013,新港转债,2027-03-08,2029-03-07,2023-09-14,2029-03-07,2023-03-08,2029-03-08,6,0
111014,李子转债,2027-06-20,2029-06-19,2023-12-28,2029-06-19,2023-06-20,2029-06-20,6,0
111015,东亚转债,2027-07-06,2029-07-05,2024-01-12,2029-07-05,2023-07-06,2029-07-06,6,1
111016,神通转债,2027-07-25,2026-02-12,2024-01-31,2026-02-12,2023-07-25,2026-02-13,2.5589,0
111017,蓝天转债,2027-08-15,2029-08-14,2024-02-21,2029-08-14,2023-08-15,2029-08-15,6,0
111018,华康转债,2027-12-25,2029-12-24,2024-07-01,2029-12-24,2023-12-25,2029-12-25,6,0
111019,宏柏转债,2028-04-17,2026-03-22,2024-10-23,2026-03-20,2024-04-17,2026-03-23,1.9315,1
111020,合顺转债,2028-07-22,2030-07-21,2025-01-27,2030-07-21,2024-07-22,2030-07-22,6,0
111021,奥锐转债,2028-07-26,2030-07-25,2025-02-05,2030-07-25,2024-07-26,2030-07-26,6,0
111022,锡振转债,2029-06-18,2031-06-17,2025-12-24,2031-06-17,2025-06-18,2031-06-18,6,0
111023,利柏转债,2029-07-03,2031-07-02,2026-01-09,2031-07-02,2025-07-03,2031-07-03,6,0
111024,澳弘转债,2029-12-11,2031-12-10,2026-06-17,2031-12-10,2025-12-11,2031-12-11,6,0
113001,中行转债,2012-06-02,2015-03-08,2010-12-02,2015-03-06,2010-06-02,2015-03-09,4.7699,1
113002,工行转债,2012-08-31,2015-02-12,2011-03-01,2015-02-12,2010-08-31,2015-02-13,4.4575,0
113003,重工转债,2016-06-04,2014-11-30,2012-12-05,2014-11-28,2012-06-04,2014-12-01,2.4932,1
113005,平安转债,,2015-01-11,2014-05-23,2015-01-09,2013-11-22,2015-01-12,1.1397,0
113006,深燃转债,2017-12-13,2015-05-03,2014-06-16,2015-04-30,2013-12-13,2015-05-04,1.389,0
113007,吉视转债,2018-09-05,2015-07-07,2015-03-06,2015-07-07,2014-09-05,2015-07-08,0.8384,0
113008,电气转债,2019-02-02,2021-02-01,2015-08-03,2021-02-01,2015-02-02,2021-02-02,6,1
113009,广汽转债,2020-01-22,2022-01-21,2016-07-22,2022-01-21,2016-01-22,2022-01-22,6,0
113010,江南转债,2018-03-18,2019-02-13,2016-09-26,2019-02-13,2016-03-18,2019-02-14,2.9123,1
113011,光大转债,2021-03-17,2023-03-16,2017-09-18,2023-03-16,2017-03-17,2023-03-17,6,0
113012,骆驼转债,2021-03-24,2021-09-02,2017-10-09,2021-09-02,2017-03-24,2021-09-03,4.4493,1
113013,国君转债,2021-07-07,2023-07-06,2018-01-08,2023-07-06,2017-07-07,2023-07-07,6,0
113014,林洋转债,2021-10-27,2021-09-28,2018-05-03,2021-09-28,2017-10-27,2021-09-29,3.926,0
113015,隆基转债,2021-11-02,2019-09-03,2018-05-08,2019-09-03,2017-11-02,2019-09-04,1.8384,0
113016,小康转债,2021-11-06,2023-06-25,2018-05-11,2023-06-21,2017-11-06,2023-06-26,5.6384,1
113017,吉视转债,2021-12-27,2023-12-26,2018-07-02,2023-12-26,2017-12-27,2023-12-27,6,2
113018,常熟转债,,2019-05-16,2018-07-26,2019-05-16,2018-01-19,2019-05-17,1.3233,1
113019,玲珑转债,2021-03-01,2020-09-03,2018-09-07,2020-09-03,2018-03-01,2020-09-04,2.5151,0
113020,桐昆转债,2022-11-19,2020-11-26,2019-05-23,2020-11-26,2018-11-19,2020-11-27,2.0247,0
113021,中信转债,2023-03-04,2025-03-03,2019-09-11,2025-03-03,2019-03-04,2025-03-04,6,0
113022,浙商转债,,2020-08-25,2019-09-19,2020-08-25,2019-03-12,2020-08-26,1.4603,0
113024,核建转债,2023-04-08,2025-04-07,2019-10-14,2025-04-07,2019-04-08,2025-04-08,6,0
113025,明泰转债,2023-04-10,2023-10-23,2019-10-16,2023-10-23,2019-04-10,2023-10-24,4.5425,0
113026,核能转债,2023-04-15,2022-03-08,2019-10-21,2022-03-08,2019-04-15,2022-03-09,2.9014,0
113027,华钰转债,2023-06-14,2024-06-12,2019-12-20,2024-06-12,2019-06-14,2024-06-13,5.0027,0
113028,环境转债,2023-06-18,2020-09-17,2019-12-24,2020-09-17,2019-06-18,2020-09-18,1.2548,0
113029,明阳转债,2023-12-16,2021-03-18,2020-06-22,2021-03-18,2019-12-16,2021-03-19,1.2575,0
113030,东风转债,2023-12-24,2025-12-23,2020-06-30,2025-12-23,2019-12-24,2025-12-24,6,2
113031,博威转债,2024-01-10,2020-08-30,2020-07-16,2020-08-28,2020-01-10,2020-08-31,0.6411,0
113032,桐20转债,2024-03-02,2021-01-13,2020-09-07,2021-01-13,2020-03-02,2021-01-14,0.8712,0
113033,利群转债,2024-04-01,2026-03-31,2020-10-09,2026-03-31,2020-04-01,2026-04-01,6,1
113034,滨化转债,2024-04-10,2022-01-10,2020-10-16,2022-01-10,2020-04-10,2022-01-11,1.7562,0
113035,福莱转债,2024-05-27,2021-01-31,2020-12-03,2021-01-29,2020-05-27,2021-02-01,0.6849,0
113036,宁建转债,2024-07-06,2022-04-11,2021-01-11,2022-04-11,2020-07-06,2022-04-12,1.7644,0
113037,紫银转债,2024-07-23,2026-07-22,2021-01-29,2026-07-22,2020-07-23,2026-07-23,6,1
113038,隆20转债,2024-07-31,2021-03-30,2021-02-08,2021-03-30,2020-07-31,2021-03-31,0.6658,0
113039,嘉泽转债,2024-08-24,2026-08-23,2021-03-01,2026-08-23,2020-08-24,2026-08-24,6,0
113040,星宇转债,2024-10-22,2021-08-02,2021-04-28,2021-08-02,2020-10-22,2021-08-03,0.7808,0
113041,紫金转债,2023-11-03,2021-06-27,2021-05-10,2021-06-25,2020-11-03,2021-06-28,0.6493,0
113042,上银转债,2025-01-25,2027-01-24,2021-07-29,2027-01-24,2021-01-25,2027-01-25,6,0
113043,财通转债,2024-12-10,2026-12-09,2021-06-16,2026-12-09,2020-12-10,2026-12-10,6,1
113044,大秦转债,2024-12-14,2025-02-10,2021-06-18,2025-02-10,2020-12-14,2025-02-11,4.1644,0
113045,环旭转债,2025-03-04,2026-01-28,2021-12-10,2026-01-28,2021-03-04,2026-01-29,4.9096,0
113046,金田转债,2025-03-22,2027-03-21,2021-09-27,2027-03-21,2021-03-22,2027-03-22,6,0
113047,旗滨转债,2025-04-09,2025-12-02,2021-10-15,2025-12-02,2021-04-09,2025-12-03,4.6548,2
113048,晶科转债,2025-04-23,2027-04-22,2021-10-29,2027-04-22,2021-04-23,2027-04-23,6,2
113049,长汽转债,2025-06-10,2027-06-09,2021-12-17,2027-06-09,2021-06-10,2027-06-10,6,0
113050,南银转债,2023-06-15,2025-07-17,2021-12-21,2025-07-17,2021-06-15,2025-07-18,4.0932,0
113051,节能转债,2025-06-21,2027-06-20,2021-12-27,2027-06-20,2021-06-21,2027-06-21,6,0
113052,兴业转债,2025-12-27,2027-12-26,2022-06-30,2027-12-26,2021-12-27,2027-12-27,6,0
113053,隆22转债,2026-01-05,2028-01-04,2022-07-11,2028-01-04,2022-01-05,2028-01-05,6,1
113054,绿动转债,2026-02-25,2028-02-24,2022-09-05,2028-02-24,2022-02-25,2028-02-25,6,0
113055,成银转债,2022-03-03,2025-02-05,2022-09-09,2025-02-05,2022-03-03,2025-02-06,2.9342,0
113056,重银转债,2026-03-23,2028-03-22,2022-09-30,2028-03-22,2022-03-23,2028-03-23,6,0
113057,中银转债,,2023-12-18,2022-09-30,2023-12-18,2022-03-24,2023-12-19,1.7397,0
113058,友发转债,2026-03-30,2028-03-29,2022-10-10,2028-03-29,2022-03-30,2028-03-30,6,2
113059,福莱转债,2026-05-20,2028-05-19,2022-11-28,2028-05-19,2022-05-20,2028-05-20,6,0
113060,浙22转债,2022-06-14,2024-11-27,2022-12-20,2024-11-27,2022-06-14,2024-11-28,2.4603,0
113061,拓普转债,2026-07-14,2025-03-13,2023-01-20,2025-03-13,2022-07-14,2025-03-14,2.6685,0
113062,常银转债,2026-09-15,2028-09-14,2023-03-21,2028-09-14,2022-09-15,2028-09-15,6,0
113063,赛轮转债,2026-11-02,2024-02-22,2023-05-08,2024-02-22,2022-11-02,2024-02-23,1.3096,0
113064,东材转债,2026-11-16,2025-09-07,2023-05-22,2025-09-05,2022-11-16,2025-09-08,2.8137,0
113065,齐鲁转债,2022-11-29,2025-08-13,2023-06-05,2025-08-13,2022-11-29,2025-08-14,2.7096,1
113066,平煤转债,2027-03-16,2029-03-15,2023-09-22,2029-03-15,2023-03-16,2029-03-16,6,1
113067,燃23转债,2027-07-27,2029-07-26,2024-02-02,2029-07-26,2023-07-27,2029-07-27,6,0
113068,金铜转债,2027-07-28,2025-08-25,2024-02-05,2025-08-25,2023-07-28,2025-08-26,2.0822,1
113069,博23转债,2027-12-22,2026-01-21,2024-06-28,2026-01-21,2023-12-22,2026-01-22,2.0877,0
113070,渝水转债,2029-01-09,2031-01-08,2025-07-15,2031-01-08,2025-01-09,2031-01-09,6,0
113501,洛钼转债,2016-12-02,2015-07-09,2015-06-02,2015-07-09,2014-12-02,2015-07-10,0.6027,0
113502,嘉澳转债,2021-11-10,2022-09-22,2018-05-17,2022-09-22,2017-11-10,2022-09-23,4.8712,0
113503,泰晶转债,2021-12-15,2020-05-26,2018-06-21,2020-05-26,2017-12-15,2020-05-27,2.4493,0
113504,艾华转债,2022-03-02,2024-03-01,2018-09-10,2024-03-01,2018-03-02,2024-03-02,6,1
113505,杭电转债,2022-03-06,2024-03-05,2018-09-12,2024-03-05,2018-03-06,2024-03-06,6,1
113506,鼎信转债,2022-04-16,2019-04-26,2018-10-22,2019-04-26,2018-04-16,2019-04-27,1.0301,0
