bond_code,bond_name,stock_code,issue_size,rating,maturity_date,convert_price,original_price,listing_date,delist_date,redeem_pct,redeem_days,redeem_window,putback_pct,putback_days,putback_window,revise_pct,revise_days,revise_window,bond_price,convert_value,premium_rate,ytm,remaining_size,maturity_redemption_price,coupon_rate_1,coupon_rate_2,coupon_rate_3,coupon_rate_4,coupon_rate_5,coupon_rate_6,coupon_rate_7,coupon_rate_8,coupon_rate_9,coupon_rate_10
113597,佳力转债,603912,3.0,AA-,2026-07-30,8.68,23.4,2020-08-21,,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,132.941,109.677,21.2114,-32.3227,3.0,118.0,0.5,0.7,1.0,1.8,2.5,3.0,,,,
123063,大禹转债,300021,6.38,AA-,2025-08-21,4.94,4.94,2020-08-20,2025-08-29,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,,87.247,,,6.38,120.0,0.4,0.6,1.2,1.8,2.5,3.0,,,,
128124,科华转债,002022,7.38,A+,2026-07-28,20.64,21.5,2020-08-20,,130.0,15.0,30.0,70.0,30.0,30.0,90.0,10.0,20.0,105.82,27.955,278.5369,0.497,7.38,106.0,0.3,0.5,0.8,1.2,1.5,2.0,,,,
113596,城地转债,603887,12.0,BBB,2024-12-18,29.21,29.21,2020-08-20,2024-12-18,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,,55.734,,,12.0,108.0,0.4,0.6,1.0,1.5,2.0,3.0,,,,
128123,国光转债,002749,3.2,AA-,2024-07-08,13.7,13.7,2020-08-19,2024-07-17,130.0,15.0,30.0,70.0,30.0,30.0,80.0,15.0,30.0,,93.139,,,3.2,110.0,0.5,0.7,1.0,1.5,2.5,3.0,,,,
123062,三超转债,300554,1.95,A,2022-09-15,17.17,17.17,2020-08-17,2022-09-23,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,,129.878,,,1.95,113.0,0.5,0.7,1.0,2.0,2.5,3.0,,,,
110073,国投转债,600061,80.0,AAA,2026-07-24,9.42,15.25,2020-08-20,,130.0,15.0,30.0,70.0,30,30,80.0,15.0,30.0,107.416,73.036,47.0727,-1.169,80.0,107.0,0.2,0.4,0.6,0.8,1.5,2.0,,,,
128122,兴森转债,002436,2.689,AA,2025-07-23,14.18,14.18,2020-08-17,2025-07-23,130.0,20.0,30.0,60.0,30.0,30.0,70.0,20.0,30.0,,147.32,,,2.689,,0.3,0.5,1.0,1.5,2.0,,,,,
113037,紫银转债,601860,45.0,AA+,2026-07-23,3.6,4.75,2020-08-17,,130.0,15.0,30.0,70.0,30,30,80.0,15.0,30.0,109.721,75.0,46.2947,0.774,45.0,110.0,0.2,0.6,1.2,1.8,2.0,2.5,,,,
123061,航新转债,300424,2.5,A-,2026-07-22,14.82,14.86,2020-08-18,,130.0,15.0,30.0,70.0,30.0,30.0,90.0,15.0,30.0,132.8,114.575,15.9066,-34.2064,2.5,118.0,0.5,0.8,1.2,1.8,2.5,3.0,,,,
