股票代码,股票名称,现价,总市值(亿),流通市值(亿),PE(动),净利润(亿),年度涨跌幅(%),单周最大涨幅(%),单周最大跌幅(%),平均换手率(%),峰值换手率(%),价格区间高,价格区间低,价格波幅(%),波段次数,放量日数,最长连续放量,高位放量日,最大量比,平均放量倍数
603801,志邦家居,9.36,40.66,40.66,17.61,2.31,-13.33,8.57,-5.88,6.93,35.2,12.5,9.07,37.82,27,7,5,4,6.17,3.68
000526,学大教育,41.79,50.93,49.92,16.53,3.08,1.36,15.94,-10.72,9.42,31.2,58.99,36.22,62.87,27,15,5,4,3.32,2.46
600071,凤凰光学,21.86,61.55,61.55,156.97,0.39,-8.84,9.86,-10.9,8.69,31.12,25.66,16.44,56.08,29,7,5,4,3.28,2.52
688348,昱能科技,54.6,85.33,85.33,96.26,0.89,16.27,13.73,-17.24,9.72,25.88,72.28,37.32,93.68,29,9,5,4,2.87,2.38
002034,旺能环境,16.28,70.65,70.3,9.61,7.35,14.17,10.19,-7.91,5.1,24.84,20.74,13.42,54.55,25,9,5,4,8.57,3.58
603016,新宏泰,30.57,45.29,45.29,71.05,0.64,-16.97,16.64,-16.92,7.5,22.04,39.33,21.6,82.08,29,16,5,4,4.1,2.55
003013,地铁设计,14.59,59.57,58.35,12.89,4.62,12.23,10.72,-5.85,3.67,15.81,16.61,12.78,29.97,29,8,5,4,5.75,3.64
000402,金 融 街,2.8,83.69,83.68,-4.65,,-6.35,12.59,-7.21,5.59,12.83,3.45,2.42,42.56,28,9,5,4,4.5,2.96
002184,海得控制,13.58,47.79,32.64,667.23,0.07,0.82,11.21,-19.7,38.36,148.96,17.5,9.36,86.97,32,13,4,4,5.72,2.92
001319,铭科精技,26.87,37.99,22.03,28.75,1.32,0.22,23.51,-11.76,30.71,110.57,33.31,18.56,79.47,26,10,4,4,3.04,2.59
300288,朗玛信息,15.88,53.67,40.74,297.98,0.18,7.73,14.73,-14.75,20.06,108.36,20.77,11.27,84.29,27,12,4,4,5.08,3.16
300752,隆利科技,19.07,43.57,29.99,70.55,0.62,5.77,14.92,-10.72,23.49,82.12,27.86,15.06,84.99,25,15,4,4,4.21,2.69
300279,和晶科技,7.4,36.19,36.03,41.45,0.87,18.02,13.88,-11.87,15.28,62.91,9.27,4.73,95.98,24,13,4,4,6.14,2.89
000153,丰原药业,6.54,30.39,30.01,22.73,1.34,12.18,8.36,-12.66,12.18,60.18,8.08,5.07,59.37,25,10,4,4,6.76,3.33
920593,鼎智科技,36.22,68.93,58.54,196.66,0.35,16.16,47.68,-16.8,17.76,56.2,51.55,24.14,113.55,30,11,4,4,2.98,2.52
000957,中通客车,11.4,67.59,67.59,18.31,3.69,0.09,16.82,-9.65,15.43,44.36,12.93,8.79,47.1,27,14,4,4,3.63,2.61
002068,黑猫股份,9.14,67.21,67.18,-23.83,,-9.77,16.28,-15.71,14.44,36.89,13.63,8.67,57.21,32,13,4,4,3.24,2.52
688596,正帆科技,32.09,94.39,94.39,99.28,0.95,-13.32,10.36,-16.62,12.17,36.2,49.8,28.05,77.54,24,17,4,4,3.58,2.42
603227,雪峰科技,8.43,90.34,90.34,17.21,5.25,0.48,11.76,-7.06,8.22,35.74,10.39,7.8,33.21,26,12,4,4,6.49,3.35
600261,阳光照明,3.52,46.99,46.99,27.38,1.72,13.92,10.36,-13.31,7.5,35.57,4.04,2.54,59.06,35,9,4,4,4.86,2.77
600653,申华控股,1.96,38.15,38.15,-32.13,,-4.85,10.77,-11.36,9.68,34.17,2.54,1.65,53.94,31,7,4,4,3.26,2.62
000151,中成股份,12.33,41.6,37.97,-109.95,,-9.4,10.71,-10.27,9.86,32.31,15.74,11.71,34.42,31,15,4,4,6.76,3.14
001201,东瑞股份,14.73,37.97,29.92,248.34,0.15,3.66,10.71,-7.88,8.67,27.57,18.57,13.55,37.05,26,10,4,4,3.73,2.55
300685,艾德生物,22.82,89.35,88.91,25.53,3.5,11.32,15.35,-10.83,9.35,26.18,26.87,18.97,41.64,27,11,4,4,4.64,2.75
300266,兴源环境,2.7,41.95,41.93,-55.31,,8.0,11.95,-8.57,9.62,25.66,3.21,1.81,77.35,33,9,4,4,6.9,3.15
605266,健之佳,20.07,31.02,31.02,23.12,1.34,-3.42,11.44,-10.31,7.74,23.3,23.16,17.29,33.95,35,10,4,4,4.68,2.57
603368,柳药集团,18.59,73.83,73.83,8.58,8.6,11.85,8.17,-8.51,8.52,22.73,20.92,15.17,37.9,24,10,4,4,3.87,2.81
002375,亚厦股份,4.15,55.61,55.06,15.73,3.54,14.64,9.5,-7.35,4.67,20.96,4.44,3.17,40.06,30,7,4,4,5.32,3.44
600491,龙元建设,3.03,46.35,46.35,-13.56,,-17.89,17.42,-8.93,7.47,18.76,4.31,2.6,65.77,36,15,4,4,3.48,2.43
300550,和仁科技,15.54,40.8,40.76,236.43,0.17,12.61,10.37,-11.26,8.21,18.71,16.42,10.28,59.73,23,10,4,4,3.44,2.71
600874,创业环保,6.09,95.64,74.93,10.22,9.36,11.13,5.37,-8.09,4.62,16.14,6.81,5.14,32.49,35,8,4,4,4.99,3.16
603279,景津装备,16.85,97.12,97.12,16.73,5.81,6.78,8.47,-7.81,4.32,15.04,17.9,13.93,28.5,26,13,4,4,8.03,3.32
002573,清新环境,3.83,54.2,54.11,208.2,0.26,2.13,4.25,-8.95,3.6,12.32,4.36,3.26,33.74,31,11,4,4,5.54,2.9
688276,百克生物,20.49,84.76,84.76,-40.17,,-8.4,9.09,-11.4,3.52,8.6,26.3,18.83,39.67,25,12,4,4,3.92,2.61
920533,骏创科技,30.67,40.1,22.15,145.97,0.27,9.73,49.27,-15.58,50.09,231.5,60.31,21.35,182.48,26,17,3,4,3.34,2.41
301157,华塑科技,55.22,33.13,11.41,130.51,0.25,2.35,9.74,-12.32,45.83,185.57,68.0,35.17,93.35,22,11,3,4,3.75,2.45
300956,英力股份,17.23,37.12,36.26,284.85,0.13,-9.22,14.78,-14.56,23.86,81.77,23.15,13.92,66.31,28,7,3,4,3.54,2.75
301439,泓淋电力,15.92,61.95,29.17,32.54,1.9,-8.61,19.72,-15.13,21.04,81.45,21.07,11.21,87.96,35,14,3,4,4.41,2.82
301539,宏鑫科技,21.38,31.64,16.05,54.41,0.58,18.19,9.76,-15.49,21.44,72.81,22.35,14.61,52.98,28,9,3,4,4.37,2.49
300177,中海达,10.98,81.71,66.57,-133.29,,4.67,15.4,-17.89,27.39,67.67,13.72,7.91,73.45,32,12,3,4,3.31,2.26
002042,华孚时尚,4.36,74.15,74.15,106.29,0.7,-7.63,13.43,-12.9,13.38,34.89,7.58,3.99,89.97,29,11,3,4,3.69,2.73
605018,长华集团,11.46,53.87,53.87,66.31,0.81,-4.1,26.32,-9.35,8.78,28.96,14.82,7.96,86.18,28,9,3,4,3.21,2.38
688179,阿拉丁,14.12,46.96,46.96,60.98,0.77,12.96,14.72,-14.44,8.93,22.0,16.25,9.93,63.65,21,10,3,4,3.75,2.6
